NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  -1=No flag available, 1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
202001030300; 43833.12500000;  6.161;  0.185;      5;  6.488;  6.048;    1; 27.921;  0.885;      5; 29.521; 27.341;    1 
202001030400; 43833.16666667;  6.138;  0.072;      6;  6.190;  6.003;    1; 23.481;  1.822;      6; 25.861; 20.871;    1 
202001030500; 43833.20833333;  5.989;  0.027;      6;  6.035;  5.951;    1; 25.561;  0.500;      6; 25.981; 24.491;    1 
202001030600; 43833.25000000;  6.169;  0.082;      6;  6.275;  6.078;    1; 25.971;  2.229;      6; 26.981; 21.441;    1 
202001030700; 43833.29166667;  6.182;  0.036;      5;  6.254;  6.160;    1; 24.851;  1.532;      5; 27.871; 24.601;    1 
202001030800; 43833.33333333;  6.096;  0.045;      6;  6.150;  6.039;    1; 26.481;  3.104;      6; 27.611; 19.581;    1 
202001030900; 43833.37500000;  6.184;  0.063;      6;  6.312;  6.165;    1; 20.291;  0.646;      6; 21.321; 19.691;    1 
202001031000; 43833.41666667;  6.455;  0.040;      5;  6.497;  6.390;    1; 27.551;  2.742;      5; 28.441; 22.431;    1 
202001031100; 43833.45833333;  6.553;  0.050;      6;  6.621;  6.505;    1; 23.751;  1.895;      6; 26.531; 22.391;    1 
202001031200; 43833.50000000;  6.752;  0.057;      6;  6.809;  6.641;    1; 28.396;  2.629;      6; 29.551; 22.561;    1 
202001031300; 43833.54166667;  6.815;  0.032;      6;  6.851;  6.777;    1; 29.156;  3.018;      6; 30.341; 22.731;    1 
202001031400; 43833.58333333;  6.844;  0.007;      5;  6.858;  6.840;    1; 28.591;  0.754;      5; 29.901; 28.311;    1 
202001031500; 43833.62500000;  6.824;  0.006;      6;  6.830;  6.817;    1; 29.601;  1.269;      6; 30.601; 27.471;    1 
202001031600; 43833.66666667;  6.684;  0.086;      6;  6.822;  6.631;    1; 25.716;  2.536;      6; 29.221; 22.271;    1 
202001031700; 43833.70833333;  6.548;  0.162;      6;  6.691;  6.238;    1; 25.336;  2.352;      6; 26.771; 20.901;    1 
202001031800; 43833.75000000;  6.140;  0.080;      5;  6.317;  6.128;    1; 26.061;  1.122;      5; 27.121; 24.041;    1 
202001031900; 43833.79166667;  6.186;  0.023;      6;  6.210;  6.149;    1; 21.186;  2.121;      6; 25.521; 19.871;    1 
202001032000; 43833.83333333;  5.993;  0.065;      6;  6.055;  5.899;    1; 25.901;  2.068;      6; 26.311; 20.951;    1 
202001032100; 43833.87500000;  6.144;  0.104;      5;  6.197;  5.931;    1; 25.291;  2.052;      5; 26.541; 21.621;    1 
202001032200; 43833.91666667;  6.536;  0.133;      6;  6.680;  6.303;    1; 25.761;  1.204;      6; 28.481; 25.171;    1 
202001032300; 43833.95833333;  6.753;  0.032;      6;  6.812;  6.725;    1; 28.911;  1.999;      6; 29.551; 24.651;    1 
202001040000; 43834.00000000;  6.860;  0.015;      6;  6.872;  6.828;    1; 29.016;  1.101;      6; 30.681; 27.591;    1 
202001040100; 43834.04166667;  6.851;  0.014;      5;  6.869;  6.836;    1; 26.561;  2.858;      5; 30.231; 22.641;    1 
202001040200; 43834.08333333;  6.858;  0.008;      6;  6.869;  6.849;    1; 29.261;  1.404;      6; 30.171; 26.681;    1 
202001040300; 43834.12500000;  6.830;  0.010;      6;  6.850;  6.823;    1; 25.846;  2.640;      6; 29.681; 22.661;    1 
202001040400; 43834.16666667;  6.726;  0.079;      6;  6.809;  6.615;    1; 25.786;  2.688;      6; 30.581; 23.411;    1 
202001040500; 43834.20833333;  6.433;  0.134;      5;  6.584;  6.249;    1; 28.731;  3.158;      5; 29.961; 23.771;    1 
202001040600; 43834.25000000;  6.221;  0.038;      6;  6.267;  6.153;    1; 27.621;  3.114;      6; 29.121; 21.261;    1 
202001040700; 43834.29166667;  6.123;  0.066;      6;  6.203;  6.069;    1; 26.871;  3.289;      6; 28.801; 21.451;    1 
202001040800; 43834.33333333;  6.107;  0.034;      5;  6.113;  6.039;    1; 28.001;  0.150;      5; 28.041; 27.681;    1 
202001040900; 43834.37500000;  6.024;  0.016;      6;  6.050;  6.004;    1; 27.551;  0.059;      6; 27.641; 27.471;    1 
202001041000; 43834.41666667;  6.087;  0.011;      6;  6.092;  6.062;    1; 27.731;  0.044;      6; 27.801; 27.681;    1 
202001041100; 43834.45833333;  6.423;  0.156;      6;  6.475;  6.110;    1; 29.226;  0.690;      6; 29.351; 27.761;    1 
202001041200; 43834.50000000;  6.571;  0.069;      5;  6.667;  6.486;    1; 29.801;  0.281;      5; 30.171; 29.441;    1 
202001041300; 43834.54166667;  6.668;  0.012;      6;  6.678;  6.648;    1; 30.126;  0.051;      6; 30.191; 30.061;    1 
202001041400; 43834.58333333;  6.667;  0.005;      6;  6.671;  6.661;    1; 30.111;  0.010;      6; 30.131; 30.101;    1 
202001041500; 43834.62500000;  6.672;  0.004;      6;  6.676;  6.666;    1; 30.076;  0.023;      6; 30.111; 30.041;    1 
202001041600; 43834.66666667;  6.333;  0.165;      5;  6.671;  6.273;    1; 28.601;  0.708;      5; 30.051; 28.361;    1 
202001041700; 43834.70833333;  6.237;  0.044;      6;  6.259;  6.139;    1; 28.211;  0.201;      6; 28.321; 27.771;    1 
202001041800; 43834.75000000;  5.788;  0.097;      6;  5.988;  5.718;    1; 26.091;  0.458;      6; 27.031; 25.741;    1 
202001041900; 43834.79166667;  5.688;  0.007;      5;  5.696;  5.678;    1; 25.571;  0.045;      5; 25.611; 25.501;    1 
202001042000; 43834.83333333;  5.696;  0.005;      6;  5.703;  5.691;    1; 25.556;  0.112;      6; 25.801; 25.531;    1 
202001042100; 43834.87500000;  5.667;  0.035;      6;  5.714;  5.607;    1; 25.566;  0.177;      6; 25.781; 25.261;    1 
202001042200; 43834.91666667;  5.734;  0.008;      6;  5.748;  5.725;    1; 25.911;  0.044;      6; 25.981; 25.851;    1 
202001042300; 43834.95833333;  6.113;  0.103;      5;  6.194;  5.952;    1; 27.691;  0.416;      5; 28.011; 27.041;    1 
202001050000; 43835.00000000;  6.255;  0.066;      6;  6.368;  6.194;    1; 28.286;  0.265;      6; 28.721; 28.041;    1 
202001050100; 43835.04166667;  6.454;  0.045;      6;  6.504;  6.380;    1; 29.161;  0.223;      6; 29.401; 28.781;    1 
202001050200; 43835.08333333;  6.551;  0.009;      6;  6.561;  6.535;    1; 29.601;  0.048;      6; 29.661; 29.531;    1 
202001050300; 43835.12500000;  6.557;  0.028;      5;  6.566;  6.498;    1; 29.611;  0.130;      5; 29.661; 29.351;    1 
202001050400; 43835.16666667;  6.394;  0.063;      6;  6.475;  6.299;    1; 28.861;  0.293;      6; 29.221; 28.401;    1 
202001050500; 43835.20833333;  6.027;  0.085;      6;  6.204;  5.993;    1; 27.136;  0.406;      6; 27.981; 26.971;    1 
202001050600; 43835.25000000;  5.858;  0.072;      6;  5.988;  5.803;    1; 26.326;  0.344;      6; 26.941; 26.051;    1 
202001050700; 43835.29166667;  5.763;  0.022;      5;  5.782;  5.722;    1; 25.811;  0.123;      5; 25.931; 25.601;    1 
202001050800; 43835.33333333;  5.622;  0.020;      6;  5.655;  5.607;    1; 25.036;  0.127;      6; 25.241; 24.951;    1 
202001050900; 43835.37500000;  5.625;  0.031;      6;  5.677;  5.606;    1; 25.016;  0.193;      6; 25.311; 24.891;    1 
202001051000; 43835.41666667;  5.606;  0.040;      5;  5.668;  5.577;    1; 24.941;  0.191;      5; 25.241; 24.781;    1 
202001051100; 43835.45833333;  5.718;  0.016;      6;  5.733;  5.688;    1; 25.446;  0.054;      6; 25.501; 25.341;    1 
202001051200; 43835.50000000;  5.983;  0.085;      6;  6.058;  5.858;    1; 26.886;  0.431;      6; 27.251; 26.221;    1 
202001051300; 43835.54166667;  6.066;  0.053;      6;  6.182;  6.035;    1; 27.276;  0.273;      6; 27.901; 27.141;    1 
202001051400; 43835.58333333;  6.294;  0.041;      5;  6.336;  6.244;    1; 28.311;  0.159;      5; 28.471; 28.111;    1 
202001051500; 43835.62500000;  6.324;  0.032;      6;  6.383;  6.294;    1; 28.446;  0.142;      6; 28.691; 28.301;    1 
202001051600; 43835.66666667;  6.367;  0.025;      6;  6.379;  6.311;    1; 28.646;  0.123;      6; 28.711; 28.371;    1 
202001051700; 43835.70833333;  6.336;  0.020;      6;  6.358;  6.302;    1; 28.506;  0.088;      6; 28.601; 28.351;    1 
202001051800; 43835.75000000;  6.167;  0.083;      5;  6.286;  6.088;    1; 27.791;  0.398;      5; 28.311; 27.381;    1 
202001051900; 43835.79166667;  5.950;  0.074;      6;  6.027;  5.837;    1; 26.671;  0.395;      6; 27.071; 26.071;    1 
202001052000; 43835.83333333;  5.745;  0.025;      6;  5.801;  5.731;    1; 25.571;  0.128;      6; 25.871; 25.521;    1 
202001052100; 43835.87500000;  5.740;  0.018;      5;  5.778;  5.735;    1; 25.551;  0.107;      5; 25.771; 25.511;    1 
202001052200; 43835.91666667;  5.697;  0.020;      6;  5.739;  5.684;    1; 25.371;  0.092;      6; 25.571; 25.311;    1 
202001052300; 43835.95833333;  5.798;  0.021;      6;  5.813;  5.754;    1; 25.841;  0.095;      6; 25.961; 25.671;    1 
202001060000; 43836.00000000;  6.189;  0.091;      6;  6.276;  6.021;    1; 27.731;  0.349;      6; 28.001; 27.051;    1 
202001060100; 43836.04166667;  6.274;  0.099;      5;  6.480;  6.234;    1; 28.101;  0.434;      5; 29.011; 27.961;    1 
202001060200; 43836.08333333;  6.532;  0.020;      6;  6.573;  6.515;    1; 29.156;  0.089;      6; 29.331; 29.101;    1 
202001060300; 43836.12500000;  6.674;  0.049;      6;  6.710;  6.578;    1; 29.786;  0.206;      6; 29.931; 29.371;    1 
202001060400; 43836.16666667;  6.675;  0.021;      6;  6.710;  6.653;    1; 29.801;  0.095;      6; 29.931; 29.701;    1 
202001060500; 43836.20833333;  6.644;  0.007;      5;  6.651;  6.633;    1; 29.641;  3.378;      5; 29.671; 22.411;    1 
202001060600; 43836.25000000;  6.590;  0.119;      6;  6.624;  6.326;    1; 20.961;  1.903;      6; 25.571; 20.651;    1 
202001060700; 43836.29166667;  6.187;  0.040;      6;  6.211;  6.110;    1; 20.641;  0.134;      6; 20.791; 20.411;    1 
202001060800; 43836.33333333;  6.006;  0.045;      6;  6.078;  5.952;    1; 21.301;  0.773;      6; 21.521; 19.771;    1 
202001060900; 43836.37500000;  5.868;  0.045;      5;  5.920;  5.805;    1; 19.051;  0.533;      5; 19.991; 18.591;    1 
202001061000; 43836.41666667;  5.872;  0.051;      6;  5.957;  5.806;    1; 21.316;  2.604;      6; 24.301; 18.511;    1 
202001061100; 43836.45833333;  5.730;  0.034;      6;  5.784;  5.692;    1; 20.036;  1.846;      6; 23.521; 18.461;    1 
